Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jakob Pelletier,20242025,"CGY,PHI",L,L,49,7,12,19,7,10,0.39,7,19,0,0,0,0,0,1,54,13,11:33,40.6
Josh Doan,20242025,UTA,R,R,51,7,12,19,-2,8,0.37,4,15,3,4,0,0,0,1,88,8,13:31,41.2
Nick Perbix,20242025,TBL,R,D,74,6,13,19,8,20,0.26,6,19,0,0,0,0,0,1,66,9.1,14:41,--
Patrick Maroon,20242025,CHI,L,L,68,5,14,19,-13,97,0.28,4,18,1,1,0,0,0,1,73,6.9,11:32,46.2
Nate Schmidt,20242025,FLA,L,D,80,5,14,19,4,30,0.24,5,15,0,4,0,0,0,0,70,7.1,16:32,--
Pavel Mintyukov,20242025,ANA,L,D,68,5,14,19,-4,20,0.28,5,16,0,3,0,0,0,0,69,7.3,17:36,--
Rasmus Ristolainen,20242025,PHI,R,D,63,4,15,19,3,14,0.3,4,16,0,3,0,0,1,2,100,4,20:31,--
Anthony DeAngelo,20242025,NYI,R,D,35,4,15,19,-11,10,0.54,4,15,0,4,0,0,1,1,76,5.3,23:21,--
Dylan DeMelo,20242025,WPG,R,D,82,3,16,19,31,38,0.23,3,19,0,0,0,0,0,2,75,4,21:32,--
Connor Murphy,20242025,CHI,R,D,68,2,17,19,-2,52,0.28,2,18,0,0,0,1,0,0,84,2.4,20:37,--
Emil Lilleberg,20242025,TBL,L,D,76,1,18,19,-1,105,0.25,1,18,0,0,0,1,0,1,46,2.2,15:17,--
Lawson Crouse,20242025,UTA,L,L,81,12,6,18,-4,39,0.22,11,17,1,1,0,0,0,2,126,9.5,13:44,46.3
Mitchell Chaffee,20242025,TBL,R,R,66,12,6,18,-3,21,0.27,8,14,4,4,0,0,0,2,68,17.7,12:02,36.4
Luke Kunin,20242025,"SJS,CBJ",R,C,75,11,7,18,-28,55,0.24,11,18,0,0,0,0,0,0,112,9.8,14:41,47
Emil Heineman,20242025,MTL,L,L,62,10,8,18,-6,20,0.29,7,13,3,5,0,0,0,0,64,15.6,11:24,14.3
Craig Smith,20242025,"CHI,DET",R,C,59,9,9,18,-9,34,0.31,7,16,2,2,0,0,0,1,90,10,11:20,34.8
Jack Drury,20242025,"CAR,COL",L,C,72,8,10,18,1,22,0.25,7,16,1,2,0,0,0,2,93,8.6,12:55,57.8
Matias Maccelli,20242025,UTA,L,L,55,8,10,18,-13,8,0.33,8,15,0,3,0,0,0,0,86,9.3,13:44,50
Jalen Chatfield,20242025,CAR,R,D,79,7,11,18,22,54,0.23,7,17,0,0,0,1,0,2,114,6.1,18:53,--
Kaiden Guhle,20242025,MTL,L,D,55,6,12,18,6,47,0.33,6,17,0,0,0,1,0,1,71,8.5,21:11,--
Alexey Toropchenko,20242025,STL,L,R,80,4,14,18,-1,25,0.23,4,18,0,0,0,0,0,1,90,4.4,12:30,44.4
Uvis Balinskis,20242025,FLA,L,D,76,4,14,18,-7,27,0.24,4,14,0,4,0,0,0,0,92,4.4,14:51,0
Chris Tanev,20242025,TOR,R,D,75,3,15,18,31,24,0.24,3,17,0,0,0,1,0,0,43,7,19:45,--
Olli Määttä,20242025,"DET,UTA",L,D,77,2,16,18,7,16,0.23,2,18,0,0,0,0,0,0,73,2.7,19:33,--
